"source_package","record_id","version","transition_from","chapter","artifact_path","artifact_role","planned_change","reported_result","artifact_evidence","change_class","prior_claim","verification_status","severity","source_lines","dependencies","notes"
"L3_v1021_v1022","L3-044","v1.0.22","v1.0.21","Chapter 3/code","Claude/docs/v1.0.22/Anode_Fit_v1.0.22.py","composition API and assumption tracking","Use mSi wt% as external sweep coordinate and fSi as internal capacity fraction.","from_wt performs the specific-capacity conversion; direct constructor remains capacity-fraction based.","Code lines 1092-1094 and 1122-1132 define fSi semantics; lines 1201-1234 implement mSi conversion. Final TeX gives the same equation and maps 30 wt% to roughly fSi 0.54-0.78 by case.","API/assumption clarification","fSi 0-30% and mSi 0-30 wt% are interchangeable numeric ranges.","근거 미발견","High","Claude/docs/v1.0.22/Anode_Fit_v1.0.22.py:1074-1132,1201-1234; Claude/docs/v1.0.22/_sections/ch3v22_sec03_blend.tex:61-89; ch3v22_sec05_code.tex:42-51","C-052 decision","For the Si-C default, mSi=0.30 maps near fSi=0.78, so confusing the coordinates materially changes the sweep."
"L3_v1021_v1022","L3-045","v1.0.22","v1.0.21","Chapter 3/code","Claude/docs/v1.0.22/Anode_Fit_v1.0.22.py","case assets and honest boundaries","Provide three case presets while preserving unresolved SiOx and mechanics/nonadditivity gaps.","Elemental, SiOx, and Si-C presets exist; SiOx uses U=0.300 V placeholders; GS-1 and GS-2 methods raise NotImplementedError.","Case dictionaries mark tier-C demo values and warnings; boundary methods are explicit. Final Figure 2 caption repeats the placeholder warning.","placeholder/debt preservation","All three case parameter sets are experimentally established.","근거 미발견","High","Claude/docs/v1.0.22/Anode_Fit_v1.0.22.py:975-1047,1080-1088,1297-1319; Claude/docs/v1.0.22/_sections/ch3v22_sec02_cases.tex:145-157; ch3v22_sec05_code.tex:54-61","R4 evidence gaps; GS-1/GS-2","The code is intentionally unable to supply the missing physics."
"L3_v1021_v1022","L3-046","v1.0.22","v1.0.21","tests","Claude/docs/v1.0.22/test_gates_v1022.py","regression and blend harness","Test inherited behavior, theta/n(T) paths, blend off-state, wt sweep continuity, capacity conservation, warnings, and unimplemented boundaries.","The recorded run reports exit 0.","Static inspection confirms test functions and assertions, but the baseline is v1.0.19, source-variant testing writes a temporary module, and the checks are numerical self-consistency checks.","test expansion","PASS proves external scientific correctness.","근거 미발견","High","Claude/docs/v1.0.22/test_gates_v1022.py:1-64,141-183,338-409,435-599,602-626; Claude/docs/v1.0.22/results/V1022_CHANGE_LOG.md:45-45; comp_R6/R6_REPORT.md:1-235","v1.0.19 code/golden; v1.0.22 code","The audit did not execute the harness due the authorized-write boundary."
"L3_v1021_v1022","L3-047","v1.0.22","v1.0.21","tests","Claude/docs/v1.0.22/test_gates_v1022.py","R6-G3 coverage","Verify capacity conservation across the full fSi domain corresponding to the declared 0-30 wt% range.","Docstring and reports say fSi full range.","gate_R6_G3 tests direct fSi values 0, 0.1, 0.3, and 0.5 only; it does not test the Si-C 30 wt% conversion near fSi 0.78. G2 does sweep mSi to 0.30.","coverage gap","R6-G3 covers the full declared composition range.","근거 미발견","High","Claude/docs/v1.0.22/test_gates_v1022.py:28-31,529-565; Claude/docs/v1.0.22/_sections/ch3v22_sec03_blend.tex:78-84; Claude/docs/v1.0.22/Anode_Fit_v1.0.22.py:1201-1234","R6 G2/G3 distinction","The tested points support selected fSi values, not the whole externally declared wt% envelope."
"L3_v1021_v1022","L3-048","v1.0.22","v1.0.21","tests/build","Claude/docs/v1.0.22/results/V1022_EXECUTION_LEDGER.md","reported verification","Use recorded build and test PASS as process gates.","Ledger and handover report three PDFs GREEN and code gates exit 0.","Source, harness, and rendered text are present, but no command was executed during this read-only audit and build/test output is not scientific evidence.","reported process evidence","All reported PASS results are independently reproduced by this audit.","미검증","Medium","Claude/docs/v1.0.22/results/V1022_EXECUTION_LEDGER.md:1-24; HANDOVER_v1.0.22.md:10-29; MERGE_READINESS.md:1-204","recorded logs only","Execution is deliberately 미검증; static lineage checks were performed."
"L3_v1021_v1022","L3-049","v1.0.22","v1.0.21","Chapter 3 figures","Claude/docs/v1.0.22/_sections/ch3v22_sec02_cases.tex","R7 final assets","Insert a blend family and three-case shape comparison generated from final code.","fig:blend-family and fig:si-cases-shape were added.","Final sources identify both assets, their 0/10/20/30 wt% or equal-Q case settings, normalization, and placeholder caveats; no pre-v1.0.22 scientific figure label was removed.","asset expansion","The figures are experimental validation plots.","근거 미발견","Medium","Claude/docs/v1.0.22/results/V1022_CHANGE_LOG.md:46-46; Claude/docs/v1.0.22/_sections/ch3v22_sec03_blend.tex:192-226; ch3v22_sec02_cases.tex:124-157","v1.0.22 code presets","They are code-generated demonstrations, not observed data. Visual rendering is 미검증."
"L3_v1021_v1022","L3-050","v1.0.22","v1.0.21","snapshot/history","Claude/docs/v1.0.22/results/snapshot_v1022_r1.json","R1 precursor snapshot","Capture the post-reorganization baseline.","The JSON reports Chapter 3 with seven labels, zero equation blocks, zero assets, and fourteen bibitems.","Final Chapter 3 source/render has many equations, two figures, and 34 bibliography items; therefore the snapshot is correctly an R1 precursor and not the final freeze.","historical baseline/superseded","snapshot_v1022_r1.json describes final v1.0.22.","근거 미발견","Medium","Claude/docs/v1.0.22/results/snapshot_v1022_r1.json:1229-1256; Claude/docs/v1.0.22/ch3_si_v1.0.22.tex:18-30; _sections/ch3v22_bib.tex:1-42; ch3_si_v1.0.22.pdf:pdftotext 1-898","R5-R8 later phases","Use this JSON only for R1-to-final delta reconstruction."
"L3_v1021_v1022","L3-051","v1.0.22","v1.0.21","rendered artifacts","Claude/docs/v1.0.22/*.pdf","final artifacts","Deliver three chapter PDFs and the independent appendix.","Four PDFs exist and extracted text was read first-to-last.","Extraction ranges are appendix 1-429, Chapter 1 1-4699, Chapter 2 1-1505, Chapter 3 1-898; final narrative and references are present.","rendered finalization","Final PDFs establish release readiness.","확정","Low","Claude/docs/v1.0.22/appendix_phase_separation.pdf:pdftotext 1-429; ch1_graphite_v1.0.22.pdf:1-4699; ch2_lco_v1.0.22.pdf:1-1505; ch3_si_v1.0.22.pdf:1-898","corresponding TeX masters/sections","Textual correspondence is confirmed; visual layout is 미검증 and scientific truth is claim-specific."
"L3_v1021_v1022","L3-052","v1.0.22","v1.0.21","fitting guide","Claude/docs/v1.0.22/FITTING_GUIDE.md","release guide","Update operator workflow for three chapters and blend APIs.","The guide remained byte-identical to v1.0.21/v1.0.20.","It still identifies v1.0.20, v1.0.19 code/docs, and lacks BlendedAnodeDQDV, from_wt, Si presets, and GS boundaries.","stale carryover","The v1.0.22 fitting guide is synchronized to the final code/API.","근거 미발견","High","Claude/docs/v1.0.22/FITTING_GUIDE.md:1-5,49-70,117-137; Claude/docs/v1.0.22/Anode_Fit_v1.0.22.py:975-1320","v1.0.21 FITTING_GUIDE.md","This is a release-facing lineage gap, not an editorial repair request."
"L3_v1021_v1022","L3-053","v1.0.22","v1.0.21","appendix","Claude/docs/v1.0.22/appendix_phase_separation.tex","independent appendix","Carry the common phase-separation appendix without changing physics.","The 497-line source is byte-identical to v1.0.21 and still says v1.0.21 inheritance.","The appendix is separately rendered and not input by any chapter master.","unchanged carryover","The appendix was updated and integrated for v1.0.22.","근거 미발견","Medium","Claude/docs/v1.0.22/appendix_phase_separation.tex:1-7,1-497; ch1_graphite_v1.0.22.tex:1-57; ch2_lco_v1.0.22.tex:1-31; ch3_si_v1.0.22.tex:1-30","v1.0.21 appendix","Its scientific derivation remains a dependency but release labeling/integration did not advance."
"L3_v1021_v1022","L3-054","v1.0.22","v1.0.21","Chapter 2 LCO","Claude/docs/v1.0.22/_sections/ch1_sec14_lcodecomp.tex","persistent empirical debt","Retain honest limits while reorganizing LCO.","The final chapter states Omega omitted/zero and tier C, and flags 0.47/1.49 source/assignment uncertainty.","Rendered Chapter 2 repeats these caveats and does not supply external validation.","debt preservation","R3/FR closed LCO numerical uncertainty.","근거 미발견","High","Claude/docs/v1.0.22/_sections/ch1_sec11_lcointro.tex:20-55; ch1_sec14_lcodecomp.tex:32-78; ch1_sec15_lcoelec.tex:300-396; Claude/docs/v1.0.22/ch2_lco_v1.0.22.pdf:pdftotext 115-145,392-404,553-560","R3 bridges; LCO source ledger","Deliberate caveats are retained, so the debt is not a lineage loss."
"L3_v1021_v1022","L3-055","v1.0.22","v1.0.21","Chapter 2 LCO/code","Claude/docs/v1.0.22/Anode_Fit_v1.0.22.py","electronic thermal term","Carry the LCO electronic term and document its temperature/composition scope.","The implementation remains frozen at reference temperature and x_center.","Code lines 923-928 and Chapter 2 rendered text explicitly defer full T/x restoration and round-trip validation.","frozen approximation","v1.0.22 implements full temperature/composition-dependent LCO electronics.","근거 미발견","High","Claude/docs/v1.0.22/Anode_Fit_v1.0.22.py:923-928; Claude/docs/v1.0.22/FITTING_GUIDE.md:68-70; Claude/docs/v1.0.22/ch2_lco_v1.0.22.pdf:pdftotext 1139-1182,1409-1419","v1.0.19 inherited implementation","FR fixed a false locality claim but did not implement the missing dependency."
"L3_v1021_v1022","L3-056","v1.0.22","v1.0.21","Chapter 1 thermal","Claude/docs/v1.0.22/_sections/ch2_sec08_synthesis.tex","thermal example","Retain calculated MCMB entropy/reversible-heat example with honest validation status.","Final rendered text notes a +3 to +4 mV/K scale mismatch and requires original-source recheck.","The caveat is explicit near the Part T close and real-data round-trip remains open.","recurring unresolved validation","The MCMB example is experimentally validated.","근거 미발견","High","Claude/docs/v1.0.22/_sections/ch2_sec08_synthesis.tex:115-150,205-231; Claude/docs/v1.0.22/ch1_graphite_v1.0.22.pdf:pdftotext 3209-3212,4080-4093","MCMB cited source; fitting workflow","Numerical self-consistency does not resolve the scale mismatch."
"L3_v1021_v1022","L3-057","v1.0.22","v1.0.21","Chapter 3 cases","Claude/docs/v1.0.22/_sections/ch3v22_sec02_cases.tex","SiOx evidence claim","Describe initial irreversible lithium consumption and ICE improvement from cited sources.","The prose infers that roughly 40% of consumed lithium directly becomes silicate/Li2O from ICE 58.5 to 82.1 percent.","The cited ICE change supports efficiency improvement, but the inspected package contains no direct mass-balance evidence establishing that attribution/percentage.","unsupported causal quantification","The 40% attribution is directly established.","근거 미발견","High","Claude/docs/v1.0.22/_sections/ch3v22_sec02_cases.tex:54-65; Claude/docs/v1.0.22/ch3_si_v1.0.22.pdf:pdftotext 274-283; Claude/docs/v1.0.22/results/comp_R4/upgraded/SIOX_CASES.md:1-37","yom_sio2016 and miyachi_sio2005 entries","This is a residual scientific overclaim after FR/AUD."
"L3_v1021_v1022","L3-058","v1.0.22","v1.0.21","Chapter 3 cases","Claude/docs/v1.0.22/_sections/ch3v22_sec02_cases.tex","evidence-tier claim","Summarize which Chapter 3 values are primary-source verified and which remain gaps.","The source box says all representative values are tier-A primary quantitative evidence while listing four confirmation gaps; rendered prose also says all comp_R4 values were confirmed.","R4 reports contain tier B/C entries, inaccessible source values, and explicit placeholders, so the all-values wording is too broad.","overbroad evidence claim","All comp_R4 original values were confirmed.","근거 미발견","High","Claude/docs/v1.0.22/_sections/ch3v22_sec02_cases.tex:80-100,145-153; Claude/docs/v1.0.22/ch3_si_v1.0.22.pdf:pdftotext 217-226,347-360; Claude/docs/v1.0.22/results/comp_R4/REPORT_R4_COMPLETE.md:1-171","R4 and upgraded surveys","Confirmed subsets must not be generalized to the full case table."
"L3_v1021_v1022","L3-059","v1.0.22","v1.0.21","Chapter 3 blend","Claude/docs/v1.0.22/_sections/ch3v22_sec03_blend.tex","common-mu assumption","Derive the blend balance and separate equilibrium exactness from finite-rate approximation.","Final text calls the balance exact at equilibrium and the finite-rate simultaneous-response layer a first approximation.","The derivation also assumes independent host/class logistic contributions for monotonicity and explicitly excludes mean-field double-well/nonadditive finite-rate behavior.","assumption/caveat","The common-mu factorized host model is exact without modeling assumptions.","미결","High","Claude/docs/v1.0.22/_sections/ch3v22_sec03_blend.tex:55-115,229-270; Claude/docs/v1.0.22/Anode_Fit_v1.0.22.py:1241-1278","Chapter 1 independent-class model; GS-2","Thermodynamic common chemical potential is exact at equilibrium; the chosen additive host response is model-conditional."
"L3_v1021_v1022","L3-060","v1.0.22","v1.0.21","Chapter 3/code prose","Claude/docs/v1.0.22/_sections/ch3v22_sec05_code.tex","implementation-state text","Describe final code boundaries after R6 implementation.","Final source still says this section is a doc-leads requirement that R6 will implement and concludes that R6 will provide the toggle.","The adjacent final code already implements the API, so the future-tense state is stale though the requirements themselves match.","stale state description","Chapter 3 accurately describes implementation status.","근거 미발견","Medium","Claude/docs/v1.0.22/_sections/ch3v22_sec05_code.tex:1-6,40-66; Claude/docs/v1.0.22/Anode_Fit_v1.0.22.py:975-1320","R6 implementation","This is chronology/state drift, not evidence that the code is absent."
"L3_v1021_v1022","L3-061","v1.0.22","v1.0.21","code metadata","Claude/docs/v1.0.22/Anode_Fit_v1.0.22.py","release identity","Identify the final implementation as v1.0.22 and its current document anchors.","The file name is v1.0.22 but header history stops at v1.0.21 and the evidence-document line names v1.0.21.","New v1.0.22 code exists from line 975 onward, so the stale header is contradicted by the body.","stale metadata","Code metadata is synchronized to v1.0.22.","근거 미발견","Medium","Claude/docs/v1.0.22/Anode_Fit_v1.0.22.py:1-40,975-984","R6 change log","API identity is clear from path/body; provenance header is stale."
"L3_v1021_v1022","L3-062","v1.0.22","v1.0.21","indexes/handover","Claude/plans/INDEX.md","process metadata","Keep plan index, package index, merge readiness, handover, and ledger synchronized through freeze.","The execution ledger/change log are most current, while several higher-level files remain draft/stale.","Shared INDEX says v1.0.22 GO pending and R0-R3 done and calls the master v3 though the actual plan is v2; HANDOVER says R9 draft and future moyassari work despite C-055 completion; root INDEX/MERGE also lag final state.","metadata drift","All final process indexes agree.","근거 미발견","Medium","Claude/plans/INDEX.md:1-50; Claude/plans/2026-07-17-v1022-master-plan.md:1-4; Claude/docs/v1.0.22/results/HANDOVER_v1.0.22.md:1-23,87-98,133-147; INDEX_v1022.md:1-146; MERGE_READINESS.md:1-204; V1022_EXECUTION_LEDGER.md:1-24","ledger/change log as latest local record","Use ledger plus final artifacts for chronology; do not treat stale index text as ground truth."
"L3_v1021_v1022","L3-063","v1.0.22","v1.0.21","freeze/handover","Claude/docs/v1.0.22/results/V1022_EXECUTION_LEDGER.md","release freeze","Close R0-R9 plus RA/RV/SM2/FR/AUD and hand off merge to the user.","Ledger marks all phase gates complete; D22-8 forbids the merge build and handover remains labeled draft.","Final three chapter sources/PDFs/code exist, but single-document merge is explicitly outside this cycle.","freeze with boundary handoff","v1.0.22 includes a tested merged final document.","근거 미발견","Medium","Claude/plans/2026-07-17-v1022-master-plan.md:1-4,13-16,45-47; Claude/docs/v1.0.22/results/V1022_EXECUTION_LEDGER.md:1-24; HANDOVER_v1.0.22.md:10-29,133-147","D22-8; L5 cross-version roadmap","Three chapter artifacts are final within local scope; merged-company deliverable is not."
"L3_v1021_v1022","L3-064","v1.0.23 precursor","v1.0.22","comp_v23","Claude/docs/v1.0.22/results/comp_v23/SURV_SYNTHESIS.md","candidate synthesis","Survey advanced-math candidates for a later v1.0.23 cycle without modifying v1.0.22.","Four Opus surveys and a synthesis rank menu were produced as draft-only candidates.","Every survey header says v1.0.23 candidate/draft-only/source unmodified; synthesis recommends options rather than recording executed changes.","precursor survey","comp_v23 content is part of completed v1.0.22 science.","근거 미발견","High","Claude/docs/v1.0.22/results/comp_v23/SURV_SYNTHESIS.md:1-44; SURV1_integral_transform.md:1-17; SURV2_asymptotic_pert.md:1-8; SURV3_convex_inverse.md:1-5; SURV4_bifurcation_stochastic.md:1-6","L5 v1.0.23 lineage","Directory location under v1.0.22/results is process provenance, not target-version identity."
"L3_v1021_v1022","L3-065","v1.0.23 precursor","v1.0.22","comp_v23","Claude/docs/v1.0.22/results/comp_v23/SURV1_integral_transform.md","candidate/source dependency","Assess Fredholm-2 ratio closure and Laplace/transform additions.","Laplace transfer function is ranked A from internal numerical reproduction; Fredholm ratio remains dependent on user-paper refs 6/7.","SURV1 explicitly says the source is not reflected, P3-5 is pending, constants cannot be fixed, and the original paper was inaccessible.","candidate with unverified source","Tier-1 Fredholm ratio closure is source-verified and ready.","미검증","High","Claude/docs/v1.0.22/results/comp_v23/SURV1_integral_transform.md:12-17,108-118,169-176; SURV_SYNTHESIS.md:11-17,38-44; Claude/docs/v1.0.22/results/HANDOVER_v1.0.22.md:89-110","user JCP 147 144111 refs 6/7; L5","The rel-error check is model self-consistency under frozen LV, not source or experimental verification."
"L3_v1021_v1022","L3-066","v1.0.23 precursor","v1.0.22","comp_v23","Claude/docs/v1.0.22/results/comp_v23/SURV2_asymptotic_pert.md","candidate conflict","Classify the 3/2 critical exponent and whether RG/universality language should be added.","SURV2 calls 3/2 a mean-field spinodal exponent rounded by real 3D fluctuations; SURV4 calls it a universal cusp fold exponent not mean-field-specific.","The synthesis lists both recommendations without adjudicating their different objects/claims.","unresolved survey conflict","The precursor package gives one consistent scientific interpretation of 3/2.","미결","High","Claude/docs/v1.0.22/results/comp_v23/SURV2_asymptotic_pert.md:71-86,152-163; SURV4_bifurcation_stochastic.md:41-47,130-134; SURV_SYNTHESIS.md:25-31","L5 scientific adjudication","These can coexist only after carefully separating mean-field spinodal thermodynamics from local cusp normal-form geometry; the package does not do that."
"L3_v1021_v1022","L3-067","v1.0.23 precursor","v1.0.22","comp_v23","Claude/docs/v1.0.22/results/comp_v23/SURV3_convex_inverse.md","candidate boundary","Assess convex duality, inverse problems, and statistical inference.","Survey recommends low-dimensional naming/diagnostic additions while preserving the forward-only boundary; Tikhonov/MaxEnt are deferred to a separate version.","Baseline table and conclusion explicitly say inverse reconstruction is absent by design and execution requires user GO.","candidate/defer","comp_v23 implements inverse solvers in v1.0.22.","근거 미발견","Medium","Claude/docs/v1.0.22/results/comp_v23/SURV3_convex_inverse.md:22-33,100-123; SURV_SYNTHESIS.md:33-44","L5/v1.0.24 candidate","This correctly establishes scope options, not implementation."
"L3_v1021_v1022","L3-068","v1.0.23 precursor","v1.0.22","comp_v23","Claude/docs/v1.0.22/results/comp_v23/SURV_SYNTHESIS.md","maturity claim","Use survey results to characterize remaining mathematical opportunity.","Synthesis line 7 calls the survey outcome evidence of v1.0.22 completeness.","The same package and final artifacts retain P3-5 source gaps, empirical placeholders, model assumptions, deferred review items, and no real-data validation.","overbroad synthesis claim","The surveys prove v1.0.22 scientific completeness.","근거 미발견","High","Claude/docs/v1.0.22/results/comp_v23/SURV_SYNTHESIS.md:5-17,33-44; SURV1_integral_transform.md:169-176; Claude/docs/v1.0.22/results/HANDOVER_v1.0.22.md:87-98,133-143","L5 precursor interpretation","They establish candidate ranking and some internal derivations, not scientific completeness."
"L3_v1021_v1022","L3-069","v1.0.23 precursor","v1.0.22","boundary handoff","Claude/docs/v1.0.22/results/comp_v23","L5 dependency boundary","Hand cross-version roadmaps and v1.0.23 candidate execution to L5.","This audit records only their v1.0.22 provenance, internal conflicts, and unresolved dependencies.","No v1.0.22 final TeX/code/test imports or implements the five survey files.","boundary handoff","L3 should adjudicate or execute the v1.0.23 roadmap.","확정","Info","Claude/docs/v1.0.22/results/comp_v23/SURV_SYNTHESIS.md:38-44; SURV1_integral_transform.md:118-118; SURV3_convex_inverse.md:120-124; SURV4_bifurcation_stochastic.md:120-128","L5 cross-version master roadmaps through v1.0.23","L5 must distinguish proposal, source verification, implementation, and scientific validation. [merge normalization: original severity=정보]"
"L4_v1023","L4-001","v1.0.23","v1.0.22","Cross-version","Claude/docs/v1.0.22/results/HANDOVER_v1.0.22.md","Prior endpoint handover","Use v1.0.22 as the completed baseline for the v1.0.23 additive work.","The v1.0.23 plan calls v1.0.22 complete and merge-ready.","The v1.0.22 handover still records inherited scientific gaps and ends by calling R9 a draft whose final/merge decision belongs to the user session.","baseline-qualification","v1.0.22 was a fully closed scientific endpoint.","미결","Medium","Claude/docs/v1.0.22/results/HANDOVER_v1.0.22.md:117-123,147; Claude/docs/v1.0.22/results/INDEX_v1022.md:1-5; Claude/plans/2026-07-18-v1023-ratio-and-advanced-methods-plan.md:21-25","Claude/docs/v1.0.22/results/MERGE_READINESS.md:1-204","The artifact baseline exists, but scientific closure of every inherited issue is not established in the snapshot."
"L4_v1023","L4-002","v1.0.23","v1.0.22","Chapter 1","Claude/plans/2026-07-18-v1023-ratio-and-advanced-methods-plan.md","Transition plan","Add only the lag self-consistency item through a ratio-based first-order closure; exclude literal Fredholm transplantation and computation-saving claims.","The plan defines a document-led, additive, default-off implementation with explicit non-goals.","The eligible target, exclusions, baseline assumptions, interfaces, gates, and non-goals are explicit before implementation.","planned-scope","All three candidate advanced methods would be implemented.","확정","Info","Claude/plans/2026-07-18-v1023-ratio-and-advanced-methods-plan.md:11-17,23-44,64-73,160-200,214-223","Claude/docs/v1.0.23/results/V1023_EXECUTION_LEDGER.md:8-12","Items I and III were deliberately excluded, not accidentally lost."
"L4_v1023","L4-003","v1.0.23","v1.0.22","Cross-version","Claude/docs/v1.0.23/results/V1023_EXECUTION_LEDGER.md","Execution ledger","Run P0 baseline freeze, P1 derivation, P2 documentation, P3 code/tests, optional P4 Fisher work, then P5 closeout.","P0, P1, P2, P3, and P5 are recorded; P4 is absent because its approval gate was not met.","The ledger contains five completed phase entries and no P4 entry.","phase-sequence","Every numbered phase was completed.","확정","Low","Claude/docs/v1.0.23/results/V1023_EXECUTION_LEDGER.md:8-12; Claude/plans/2026-07-18-v1023-ratio-and-advanced-methods-plan.md:48-57,138-155","Claude/docs/v1.0.23/results/PHASE_P5_RESULT.md:5-13,76-89","P4 was optional and is treated separately as deliberate deferral."
"L4_v1023","L4-004","v1.0.23","v1.0.22","Cross-version","Claude/docs/v1.0.23/results/V1023_CHANGE_LOG.md","Delta ledger","Clone the v1.0.22 version-local tree and make a narrow additive change.","The change log reports one new appendix, a section pointer, bibliography additions, code/tests, and small identity corrections.","Direct logical-section comparison found 49 byte-identical section files, three changed files, and one new Appendix E file; all Chapter 2 and Chapter 3 section sources are byte-identical.","confirmed-additive-delta","The transition rewrote or broadly refactored the chapters.","확정","Info","Claude/docs/v1.0.23/results/V1023_CHANGE_LOG.md:8-17; Claude/docs/v1.0.23/_sections:all 53 files, full ranges listed in L4_v1023_summary.md","Claude/docs/v1.0.22/_sections; Claude/plans/2026-07-18-v1023-ratio-and-advanced-methods-plan.md:23-44","The renamed common preamble is logically matched to its v1.0.22 counterpart; its stale internal label is a separate record."
"L4_v1023","L4-005","v1.0.23","v1.0.22","Chapter 1","Claude/docs/v1.0.23/ch1_graphite_v1.0.23.tex","Chapter 1 master TeX","Insert the new self-consistent-method appendix while preserving the existing chapter body.","Appendix E is included in the final Chapter 1 master and the PDF grows from 83 to 87 pages.","The master inputs `_sections/ch1_appE_selfconsistent.tex`; the new source is 212 lines and the rendered PDF contains 87 nonblank pages.","confirmed-addition","Appendix E was planned but not assembled into the endpoint.","확정","Info","Claude/docs/v1.0.23/ch1_graphite_v1.0.23.tex:1-58; Claude/docs/v1.0.23/_sections/ch1_appE_selfconsistent.tex:1-212; Claude/docs/v1.0.23/ch1_graphite_v1.0.23.pdf:pages 1-87","Claude/docs/v1.0.22/ch1_graphite_v1.0.22.pdf:pages 1-83","Rendering establishes artifact presence and layout, not scientific correctness."
"L4_v1023","L4-006","v1.0.23","v1.0.22","Chapter 1","Claude/docs/v1.0.23/_sections/ch1_sec08_lag.tex","Chapter 1 lag section","Keep the original lag derivation in place and route advanced closure details to Appendix E.","A short pointer to Appendix E was added at the end of the lag section.","The v1.0.22 and v1.0.23 files differ only by the Appendix E pointer at the endpoint.","deliberate-relocation","Advanced details replaced or compressed the original lag derivation.","확정","Info","Claude/docs/v1.0.23/_sections/ch1_sec08_lag.tex:142-145; Claude/docs/v1.0.22/_sections/ch1_sec08_lag.tex:1-144","Claude/docs/v1.0.23/_sections/ch1_appE_selfconsistent.tex:19-210","No original equation or caveat was removed from the section."
"L4_v1023","L4-007","v1.0.23","v1.0.22","Chapter 1","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex","Chapter 1 bibliography","Add the applied JCP paper and its two method-lineage references.","Three bibliography keys were added: `lee2017jcp`, `lee2011jcp`, and `son2013jcp`.","The three entries occur consecutively in the v1.0.23 bibliography and do not occur in v1.0.22.","confirmed-addition","The endpoint bibliography contains the planned lineage keys.","확정","Info","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex:45-47; Claude/docs/v1.0.22/_sections/ch1v22_bib.tex:1-51","Claude/jcp_extract.txt:1-34,695-724","Presence is confirmed; metadata verification is assessed separately."
"L4_v1023","L4-008","v1.0.23","v1.0.22","Cross-version","Claude/docs/v1.0.23/results/V1023_REFERENCE_LEDGER.md","Reference-control ledger","Update the version-local reference ledger to include and control the three new references.","The closeout materials describe the reference ledger as updated and bibliography checks as complete.","The file title is still V1022, inherits old v1.0.21 text and old 39/14/14 counts, and contains none of the three new JCP keys.","contradiction","The v1.0.23 reference ledger is current and complete.","확정","High","Claude/docs/v1.0.23/results/V1023_REFERENCE_LEDGER.md:1-32; Claude/docs/v1.0.23/results/V1023_CHANGE_LOG.md:11-17; Claude/docs/v1.0.23/results/INDEX_v23.md:24-42","Claude/docs/v1.0.23/_sections/ch1v22_bib.tex:45-47","This is an actual lineage-control defect, not a scientific judgement about the cited papers."
"L4_v1023","L4-009","v1.0.23","v1.0.22","Chapter 1","Claude/docs/v1.0.23/results/comp_v23/AUD_REPORT_v23.md","Closeout audit report","Verify bibliography keys and metadata before declaring the endpoint ready.","The report says bibliography/key checks and web verification passed.","The structure checker verifies citation-key existence only; `lee2011jcp` explicitly leaves exact title and DOI pending, and no external lookup can be reproduced from the allowed snapshot.","unsupported-claim","The entire new bibliography is verified.","미검증","High","Claude/docs/v1.0.23/results/comp_v23/AUD_REPORT_v23.md:24-32,55-63; Claude/docs/v1.0.23/results/tools_check_structure.py:95-120; Claude/docs/v1.0.23/_sections/ch1v22_bib.tex:45-47","Claude/docs/v1.0.23/results/V1023_REFERENCE_LEDGER.md:1-32","`lee2017jcp` is supported by the included JCP source; exact metadata for the two lineage references remains partly unverified."
"L4_v1023","L4-010","v1.0.23","v1.0.22","Chapter 1","Claude/jcp_extract.txt","Primary-method source extract","Ground the ratio idea in the 2017 JCP article rather than importing an unrelated equation by analogy alone.","Appendix E cites the paper's Eq. 32 to Eq. 34 ratio closure as method lineage.","The included article identifies the paper and DOI, develops a second-kind Fredholm equation, isolates a ratio, states approximations, and gives physical-validity limits.","source-grounded-lineage","The ratio-method provenance is absent or purely secondary.","확정","Info","Claude/jcp_extract.txt:1-34,44-50,223-241,286-341,380-411,695-724; Claude/JCP_147(14)_144111_(2017) - Effects of external electric field.pdf:pages 1-10","Claude/docs/v1.0.23/_sections/ch1_appE_selfconsistent.tex:67-105,108-130","This confirms the source method, not correctness of its battery adaptation."
"L4_v1023","L4-011","v1.0.23","v1.0.22","Chapter 1","Claude/docs/v1.0.23/_sections/ch1_appE_selfconsistent.tex","Scientific-scope statement","Apply the imported closure philosophy only to the lag-memory problem.","Appendix E explicitly excludes the other candidate applications.","The opening scope confines the appendix to lag self-consistency and states that items I and III are outside the adopted route.","deliberate-scope-boundary","All advanced-method candidates were transferred into Chapter 1.","확정","Info","Claude/docs/v1.0.23/_sections/ch1_appE_selfconsistent.tex:19-27","Claude/plans/2026-07-18-v1023-ratio-and-advanced-methods-plan.md:11-17,64-73","No accidental loss is indicated for the excluded items."
