"source_id","track","bibliographic_identity","publication_date","doi_or_official_url","theory_type","material_regime","full_text_status","exact_locator","gap_ids","proposed_role","target_section","transfer_risk","worker_disposition","parent_disposition","confidence"
"CRM-005","COMMON","Y. Kuhn; H. Wolf; A. Latz; B. Horstmann. Bayesian Parameterization of Continuum Battery Models from Featurized Electrochemical Measurements Considering Noise. Batteries & Supercaps (2022) e202200374.","2022-10-19","https://doi.org/10.1002/batt.202200374","likelihood-free Bayesian inference; posterior correlation; feature discrepancy","DFN full-cell GITT","FULL_TEXT_TARGETED; open published PDF; not end-to-end in this pass","Figure 2; Figure 8 and PDF page 11; Figure 9 and Table 4; Conclusion","Feature-level fits expose a low-current/high-current relaxation mismatch that raw time-series fitting would hide; the posterior correlation matrix shows coupled parameters. This diagnoses Ch1 U_j/Q_j/w_j plus width correlations Ch2 g_max/Delta x and Ch3 capacity-product ridges.","Require joint posterior/correlation and feature-residual reporting; EP-BOLFI itself is optional.","Ch1-Ch3 Bayesian UQ and discrepancy","MEDIUM: feature selection is expert-defined and GITT/DFN parameters are not the project parameters.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CRM-006","COMMON","M. Adachi; Y. Kuhn; B. Horstmann; A. Latz; M. A. Osborne; D. A. Howey. Bayesian Model Selection of Lithium-Ion Battery Models via Bayesian Quadrature. IFAC-PapersOnLine 56 (2023) 10521-10526.","2023-07-09","https://doi.org/10.1016/j.ifacol.2023.10.1073","Bayesian model evidence; Bayesian quadrature; multimodal model comparison","synthetic equivalent-circuit impedance models","FULL_TEXT_TARGETED; arXiv full text; not end-to-end in this pass","Sections 5.1-5.2; Section 6.1 Equations 25-28 and Tables 1-2; Section 6.2 Tables 3-4","Overlapping peaks create multimodal posteriors for which RMSE and BIC select the wrong model; evidence mean and variance expose preference and uncertainty. This diagnoses Ch1 mixture order/overlap and Ch2 competing Omega/ordering/branch models.","Use evidence or model averaging with uncertainty when project posteriors are multimodal; retain predictive checks.","Ch1 competing mixture models; Ch2 competing thermodynamic models","HIGH: proof-of-concept equivalent circuits and prior-sensitive evidence; method-only transfer.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CRM-007","COMMON","Q. Lai; H. J. Ahn; Y. Kim; Y. N. Kim; X. Lin. New data optimization framework for parameter estimation under uncertainties with application to lithium-ion battery. Applied Energy 295 (2021) 117034.","2021-08-01","https://doi.org/10.1016/j.apenergy.2021.117034","uncertainty-aware optimal experiment design","electrochemical battery parameter estimation in simulation and experiment","FULL_TEXT_TARGETED; publisher full HTML sections; not end-to-end in this pass","Derivation of new formula; New data optimization framework; Simulation verification; Experimental validation; Conclusion","The least-squares error criterion includes measurement model and uncertain-parameter effects beyond Fisher information. It can rank temperature/rate/configuration points by whether they rotate sensitivities of Ch1 mixture/broadening Ch2 g_max/Delta x and Ch3 offset/center/product combinations without amplifying discrepancy.","Use as the design criterion framework for project-specific candidate experiments; do not copy the optimized current profile.","Ch1-Ch3 experiment design and uncertainty","MEDIUM: application targets electrochemical-model parameters and current excitation; joint temperature/rate/electrode design is not demonstrated.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CRM-009","COMMON","B. Schweighofer; D. Schuerholz; M. Neumayer; H. Wegleiter. Uncertainty analysis of selected standard methods in battery measurement technology. Journal of Power Sources 561 (2023) 232749.","2023-02-02","https://doi.org/10.1016/j.jpowsour.2023.232749","GUM uncertainty propagation for DCA/DVA","high-precision battery measurement","FULL_TEXT_TARGETED; institutional open PDF; not end-to-end in this pass","Sections 2.4-2.5 Equations 8-12; Section 3; Section 4.5 Equations 72-82; Sections 4.6-4.7 Equations 83-88","Voltage noise and drift dominate DCA/DVA uncertainty in the demonstrated setup; Delta-DCA also needs x-axis drift. This supplies the measurement-noise component for Ch1 peak centers/widths/lag and Ch2/Ch3 transition shifts.","Propagate current time voltage temperature and drift through the actual derivative pipeline; do not import the example ppm values.","Ch1-Ch3 derivative UQ","LOW-MEDIUM for equations; HIGH for numerical values because instrument/cell specific.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CRM-010","COMMON","A. Weng; J. B. Siegel; A. G. Stefanopoulou. Differential voltage analysis for battery manufacturing process control. Frontiers in Energy Research 11 (2023) 1087269.","2023-03-22","https://doi.org/10.3389/fenrg.2023.1087269","DVA observability and low-rate data design","NMC/graphite manufacturing diagnostics","FULL_TEXT_TARGETED; official open HTML; not end-to-end in this pass","Sections 3.2-3.3; Section 4.1.1; Figure 4; Table 1","Inaccessible stoichiometry makes absolute electrode capacities inaccurate while selected ratios/differences remain usable; near-equilibrium rate is cell dependent. This diagnoses Ch1 Q_j versus w_j normalization and Ch3 inability to separate m_Si from q_Si using normalized curves.","Report only identifiable products/fractions unless absolute capacity/loading or electrode-resolved data are added.","Ch1 normalization/observability; Ch3 blend identifiability; derivative experiment design","MEDIUM-HIGH: DVA manufacturing context and NMC/graphite case; does not validate ICA mixture thermodynamics; duplicate of LIT-066.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CRM-011","COMMON","T. L. Kirk et al. Nonlinear Electrochemical Impedance Spectroscopy for Lithium-Ion Battery Model Parameterization. Journal of The Electrochemical Society 170 (2023) 010514.","2023-01-13","https://doi.org/10.1149/1945-7111/acada7","structural/practical identifiability with nonlinear harmonics","nonlinear SPM EIS/NLEIS","FULL_TEXT_TARGETED; institutional open PDF; not end-to-end in this pass","Structural Parameter Identifiability; Equations 84-88; Figures 10 and 16; Conclusions","Linear EIS cannot identify charge-transfer coefficients and retains electrode-swapping/diffusion symmetries; adding the second harmonic removes most symmetries but has lower SNR and model-error limits. This diagnoses cross-chapter electrode/kinetic/thermodynamic compensation.","Use as evidence that an independent nonlinear observable can rotate null directions; NLEIS is not mandated.","Ch1-Ch3 structural identifiability and experiment design","MEDIUM-HIGH: SPM/EIS parameter groups differ from project parameters; nonlinear-harmonic measurement demands are substantial.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CRM-012","COMMON","F. Santoni et al. A guide to equivalent circuit fitting for impedance analysis and battery state estimation. Journal of Energy Storage 82 (2024) 110389.","2024-01-17","https://doi.org/10.1016/j.est.2023.110389","profile likelihood; CRLB; sensitivity and frequency-window design","battery EIS equivalent-circuit fitting","FULL_TEXT_TARGETED; open author-uploaded paper; not end-to-end in this pass","Section 4; Figures 13-18; Table 5","Profile likelihood distinguishes bounded from flat parameter directions and shows that omitting low-frequency data biases or unbounds slow-process parameters. The operation can directly test each Ch1 width/lag Ch2 g_max/Delta x and Ch3 offset/center or m_Si/q_Si parameter while reoptimizing nuisances.","Adopt one-dimensional profile likelihood as the minimum practical-identifiability report after exact invariances are removed.","Ch1-Ch3 common profile-likelihood gate","HIGH: equivalent-circuit EIS example is not a mechanistic validation; method-only transfer.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","MEDIUM-HIGH"
"CRM-013","COMMON","S. Scalzo; D. Clerici; F. Pistorio; A. Soma. Improved Electrochemical-Mechanical Parameter Estimation Technique for Lithium-Ion Battery Models. Applied Sciences 15 (2025) 7217.","2025-06-26","https://doi.org/10.3390/app15137217","joint electrochemical-mechanical objective; empirical covariance/confidence ellipses","DFN plus thickness-change measurements for LFP/graphite cells","FULL_TEXT_TARGETED; official open HTML; not end-to-end in this pass","Sections 2.3 and 2.5; Sections 4.2-4.5; Figures 5 7 and 12; Conclusions","Adding thickness data reduces empirical parameter spread and initial-guess dependence for diffusion reaction-rate and active-fraction estimates. It can constrain Ch3 electrochemical/mechanical compensation but does not automatically separate stress offset/transition center or m_Si/q_Si.","Use thickness/force only as a joint likelihood observable with thermal fixture and model-discrepancy terms.","Ch3 multiphysics identifiability and validation","HIGH: LFP/graphite model; confidence ellipses use optimization iterates rather than a formal sampling distribution; no material values transfer.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","MEDIUM-HIGH"
"CRM-014","COMMON","S. Pannala; P. Valecha; P. Mohtat; J. B. Siegel; A. G. Stefanopoulou. Electrochemical Battery State Estimation Under Parameter Uncertainty Caused by Aging Using Expansion Measurements. 2021 American Control Conference (2021) 3088-3093.","2021-05-25","https://par.nsf.gov/servlets/purl/10299041","multiphysics observability/state-estimation stress test","SPMe plus voltage temperature and expansion","FULL_TEXT_TARGETED; official NSF-hosted PDF; not end-to-end in this pass","Abstract; Equations 12-18; Table I; Section V Conclusions","Expansion corrected simulated stoichiometric-window drift but did not improve negative-electrode active-material-loss mismatch because the uncertain active fraction enters the expansion inversion. This is a direct caution for Ch3 stress/center and m_Si/q_Si claims.","Adopt as a boundary result: added mechanical data resolve only ambiguities to which their calibrated output map is independently sensitive.","Ch3 multiphysics observability and model-discrepancy caveat","HIGH: state estimation rather than parameter identification; simulated aging errors; SPMe/chemistry-specific expansion map.","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CRM-015","COMMON","J. Fogelquist; X. Lin. Data selection framework for battery state of health related parameter estimation under system uncertainties. eTransportation 18 (2023) 100283.","2023-10-01","https://doi.org/10.1016/j.etran.2023.100283","uncertainty-aware data-segment selection","battery SOH parameter estimation from drive-cycle data","FULL_TEXT_TARGETED; open publisher HTML; not end-to-end in this pass","Sections 1 and 3; Section 4.2.2; Sections 5-6","High-sensitivity segments can still be poor when model/measurement/uncertain-parameter propagation is large; the demonstrated framework estimates one target parameter at a time. It may rank data for project combinations but does not establish multivariate ridge resolution.","Hold pending a multivariate extension or project proof that segment selection rotates rather than merely scales the confounded sensitivity directions.","Ch1-Ch3 experiment/data selection","HIGH: univariate SOH demonstration and drive-cycle voltage domain.","HOLD","HOLD","MEDIUM-HIGH"
"CRM-016","COMMON","Y. Y. Choi; S. Kim; K. Kim; S. Kim; J. I. Choi. Parameter identification and identifiability analysis of lithium-ion batteries. Energy Science & Engineering 10 (2022) 488-506.","2022-02-01","https://doi.org/10.1002/ese3.1039","Fisher-information subset selection; uncertainty bounds","electrochemical battery model under multiple operating conditions","ABSTRACT_ONLY_OFFICIAL","Official institutional abstract only; exact body locator unavailable","The abstract reports a 15-parameter subset selected by Fisher information and sample-averaged RDE under varying conditions. It could inform rate/temperature design but cannot yet be tied exactly to the project combinations.","Retrieve full text before any claim or equation-level use.","Ch1-Ch3 identifiability and experiment design","UNKNOWN-MEDIUM: method appears relevant but exact assumptions and conditions were not inspected.","RETRIEVE","RETRIEVE","MEDIUM"
"CRM-017","COMMON","K. S. Mayilvahanan et al. Parameter Estimation for Electrode Degradation: Learning in the Face of Model-Experiment Discrepancies. Journal of The Electrochemical Society 169 (2022) 050517.","2022-05-11","https://doi.org/10.1149/1945-7111/ac6c0e","model-discrepancy stress test for simulation-trained inference","degradation-parameter inference for an LVO cathode","ABSTRACT_ONLY_OFFICIAL","OSTI official abstract; exact equation/figure locator unavailable","The abstract reports biased neural-network estimates under nonideal data and imperfect model and mitigation by training-data augmentation. It is relevant to Ch1 omitted history Ch2 model-class error and Ch3 omitted mechanics but no exact locator supports adoption.","Retrieve full paper; compare its discrepancy construction with the project misspecified-model tests without importing cathode parameters.","Ch1-Ch3 model discrepancy","HIGH: material-specific degradation model and machine-learning estimator; body not inspected.","RETRIEVE","RETRIEVE","MEDIUM"
"CRM-018","COMMON","G. Song; Z. Xu; S. Liu; Y. Bai; P. D. Lund. Enhancing the Sensitivity of Lithium-Ion Battery Parameters via Nonlinear Electrochemical Impedance Spectroscopy. Journal of The Electrochemical Society 173 (2026) 020510.","2026-01-27","https://doi.org/10.1149/1945-7111/ae3911","multimodal sensitivity analysis using time-domain EIS and second-order NLEIS","DFN NMC811/graphite cell","ABSTRACT_ONLY_OFFICIAL","Official IOP abstract and highlights; exact body locator unavailable","The abstract reports that constant-current data capture mainly capacity parameters while EIS/NLEIS increases sensitivity of transport and kinetic parameters. This could update Laue/Kirk for cross-chapter time-scale design but cannot support detailed claims yet.","Retrieve full paper and verify structural versus sensitivity-only claims and experimental validation.","Ch1-Ch3 experiment design","HIGH: sensitivity is not identifiability; NMC811/graphite parameter values and ranges do not transfer.","RETRIEVE","RETRIEVE","MEDIUM"
"CRM-019","COMMON","H. S. Chan; Y. Y. Lee; D. Witt; J. Ulrich; A. Weber; U. Krewer. Improved Identifiability of Kinetic Parameters in Lithium-Ion Batteries via Nonlinear Frequency Response Analysis. Batteries & Supercaps 8 (2025) e202500179.","2025-05-08","https://doi.org/10.1002/batt.202500179","nonlinear frequency-response parameter uniqueness","P2D kinetic and SEI parameterization","ABSTRACT_ONLY_OR_BODY_NOT_RELIABLY_RETRIEVED","Publisher abstract; body retrieval timed out in this pass","The abstract states that EIS leaves rate constant and charge-transfer coefficient ambiguous and nonlinear frequency response resolves the pair. This is a direct recent analogue for adding an observable that rotates a confounded direction but substantially overlaps Kirk.","Hold until body locators are read; then use only if it adds full-P2D or half/full-cell evidence beyond Kirk.","Ch1-Ch3 experiment design and kinetic confounding","MEDIUM-HIGH: kinetic pair differs from project combinations and robustness across conditions is deferred by the authors.","HOLD","HOLD","MEDIUM"
"CRM-020","COMMON","P. Mohtat et al. Comparison of expansion and voltage differential indicators for battery capacity fade. Journal of Power Sources 518 (2022) 230714.","2021-11-17","https://doi.org/10.1016/j.jpowsour.2021.230714","empirical diagnostic-indicator comparison","NMC/graphite voltage and expansion diagnostics","FULL_TEXT_TARGETED_REJECT; publisher HTML; not end-to-end in this pass","Abstract/highlights; Section 2 test matrix; Results on differential-expansion zero crossing; Conclusion","The source compares empirical expansion and voltage indicators across rate temperature and depth of discharge but does not map a parameter likelihood or identify a specific project non-identifiable combination.","No role in the common-method chapter package; Weng Pannala and Scalzo cover observability and multiphysics inference more directly.","None","HIGH: chemistry-specific empirical correlations and no structural/practical identifiability analysis.","REJECT","REJECT","HIGH"
"CH3RT-015","CH3","Z. Wan, A. Weng, S. Pannala, H. Movahedi, T. R. Garrick, G. J. Offer, J. B. Siegel, and A. G. Stefanopoulou, Managing silicon burn-out via onboard material diagnostics for durable high-energy density batteries, Joule, 102531 (2026).","2026-06-23","https://doi.org/10.1016/j.joule.2026.102531","joint material-specific health estimation; degradation-dependent effective silicon OCP deformation; transition-SoC uncertainty","Si/graphite composite pouch cells; constant-current charge diagnostics; fresh, lithium-loss-dominated, and active-Si-loss-dominated states; reported validity up to effective 0.3C","FULL_TEXT_TARGETED_OFFICIAL_OPEN_HTML; abstract, highlights, context, summary, and official code/data links inspected; not page-complete READ_FULL","Official summary reports transition SoC from 48% fresh to 73% with lithium loss and 33% with active-Si loss; error below 3% up to effective 0.3C; retrieve complete equations, likelihood, Cramer-Rao analysis, and supplements before implementation","G11-CH3-01;G11-CH3-04;G11-COMMON-01","direct recent diagnostic boundary; effective-OCP evolution candidate; orthogonal validation dataset","Chapter 3 host-resolved degradation inference, ICA/DVA observability, and history-dependent Si OCP","HIGH: an effective OCP deformation identified inside a specified diagnostic model is not a unique microscopic Si free energy; pathway, cathode, cell design, and protocol are specific; do not transfer transition-SoC thresholds or thermal policy as constants","RETRIEVE","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
"CRM-021","COMMON","J. Natterer, M. Rubio Gomez, E. Zonta, J. Thielmann, M. Rehm, M. Cronau, and A. Jossen, Can aging effects in Li-ion cells be quantified with electrochemical impedance spectroscopy under varying state of charge and temperature? Applying inferential statistics, Journal of Power Sources 676, 239896 (2026).","2026-06-01","https://doi.org/10.1016/j.jpowsour.2026.239896","full-factorial EIS design; ANOVA effect-size decomposition; conditional dependence and uncertainty analysis","commercial Li-ion cells with graphite and silicon contributions; EIS across aging, 10%-90% SoC, and 5, 25, and 45 C reference tests","FULL_TEXT_TARGETED_OFFICIAL_OPEN_HTML; abstract, methods/figure excerpts, appendices, and institutional metadata inspected; not page-complete READ_FULL","Official HTML excerpts include Eqs.2-8 effect sizes, Fig.4 frequency-resolved effects/interactions, Appendix B protocol, and conclusion that aging, temperature, and SoC cannot be treated as independent factors","G11-CH3-04;G11-COMMON-01","direct interaction/conditioning boundary for degradation diagnostics; negative identifiability evidence for silicon degradation from EIS alone","Chapter 3 degradation observables and common experimental-design/identifiability methods","HIGH: inferential association and effect-size separation are not mechanistic parameter identifiability; four-cell design and cell-specific chemistry limit transfer; explicit SoC and temperature conditioning is mandatory","ADOPT_WITH_MODIFICATION","RETRIEVE_OR_FULL_READ_BEFORE_IMPLEMENTATION","HIGH"
